"Label","InputSize","Result","Time","Space","Variables","Ratio"
"ams",10000000,3.1569859976662777e10,18.448733834,1.879449217e9,1000,0.65
"ams",10000000,3.083655211912944e10,18.301949863,1.878862257e9,1000,0.7
"ams",10000000,3.1417734553775745e10,18.222737722,1.880040097e9,1000,0.7
"ams",10000000,2.972077981651376e10,18.434964058,1.876875121e9,1000,0.7
"ams",10000000,3.2620201183431953e10,18.187693858,1.881185537e9,1000,0.7
"ams",10000000,3.288133412042503e10,18.303139623,1.880591905e9,1000,0.7
"ams",10000000,3.261980209545984e10,17.547637944,1.883351569e9,1000,0.75
"ams",10000000,3.319197904540163e10,17.97686754,1.881991697e9,1000,0.75
"ams",10000000,3.153838183934808e10,17.805790275,1.878472465e9,1000,0.75
"ams",10000000,3.347054857142857e10,17.752247324,1.885341665e9,1000,0.75
"ams",10000000,3.112965075669383e10,17.724627258,1.878180609e9,1000,0.75
"ams",10000000,3.11454272517321e10,17.690530559,1.879670801e9,1000,0.8
"ams",10000000,3.0083364055299538e10,17.887344291,1.876980113e9,1000,0.8
"ams",10000000,3.2740372093023254e10,17.619048856,1.882090561e9,1000,0.8
"ams",10000000,3.086549132947977e10,17.86714566,1.877964401e9,1000,0.8
"ams",10000000,3.1773976331360947e10,17.833438013,1.877703009e9,1000,0.8
"ams",10000000,3.0968223760092274e10,17.711736722,1.879380833e9,1000,0.85
"ams",10000000,3.2032968929804375e10,17.660033069,1.882277825e9,1000,0.85
"ams",10000000,3.143294930875576e10,17.779434296,1.879958641e9,1000,0.85
"ams",10000000,3.231180751173709e10,17.730166344,1.880664833e9,1000,0.85
"ams",10000000,3.3551869158878506e10,17.96504316,1.883336945e9,1000,0.85
"ams",10000000,3.3488104265402843e10,18.052004286,1.882435937e9,1000,0.9
"ams",10000000,3.0358747099767982e10,17.981744001,1.875369985e9,1000,0.9
"ams",10000000,3.170045401629802e10,17.874442999,1.878878529e9,1000,0.9
"ams",10000000,2.960045977011494e10,17.984530833,1.875818097e9,1000,0.9
"ams",10000000,3.180139240506329e10,17.911656506,1.881215553e9,1000,0.9
"ams",10000000,3.1594692218350754e10,18.0396227,1.879190513e9,1000,0.95
"ams",10000000,2.988013793103448e10,17.60630317,1.878682449e9,1000,0.95
"ams",10000000,3.027139110604333e10,17.900150481,1.878797297e9,1000,0.95
"ams",10000000,3.2723625866050808e10,17.97688161,1.882634145e9,1000,0.95
"ams",10000000,3.146015028901734e10,17.776490563,1.881604801e9,1000,0.95
"ams",10000000,3.1774741081703106e10,18.061949734,1.878326401e9,1000,1.0
"ams",10000000,3.2620666666666668e10,17.890548246,1.882853345e9,1000,1.0
"ams",10000000,3.0524158075601376e10,17.955693452,1.876575265e9,1000,1.0
"ams",10000000,3.0357523148148148e10,17.841795746,1.877475457e9,1000,1.0
"ams",10000000,3.1828799546998867e10,18.055271615,1.880518545e9,1000,1.0
